airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-953,Delhi,Night,one,Morning,Chennai,Economy,12.17,21,5964.3441
Vistara,UK-773,Mumbai,Evening,zero,Evening,Kolkata,Business,2.58,19,41841.316
Air_India,AI-660,Mumbai,Evening,one,Morning,Hyderabad,Business,16.5,2,55891
Indigo,6E-2005,Hyderabad,Afternoon,one,Evening,Bangalore,Economy,5,34,2335.905
Vistara,UK-875,Mumbai,Evening,zero,Night,Hyderabad,Economy,1.58,12,4689.3
Air_India,AI-538,Chennai,Night,one,Evening,Mumbai,Business,23.67,22,72550.5473
Air_India,AI-888,Mumbai,Evening,one,Morning,Hyderabad,Economy,15.5,34,4593
Air_India,AI-501,Bangalore,Afternoon,one,Night,Kolkata,Economy,9,41,8761.973
Air_India,AI-9894,Chennai,Morning,one,Night,Mumbai,Economy,13.67,28,6437.2
Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Economy,11.08,12,11333.52
GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,6.33,41,11014.025
Air_India,AI-763,Kolkata,Early_Morning,one,Evening,Bangalore,Economy,9.25,13,14364
Vistara,UK-866,Bangalore,Night,one,Evening,Delhi,Business,20.42,43,97154.1768
Air_India,AI-773,Kolkata,Evening,one,Evening,Delhi,Business,26.08,3,54314.37
Indigo,6E-6172,Kolkata,Night,one,Early_Morning,Mumbai,Economy,8.42,6,10593.429
GO_FIRST,G8-626,Kolkata,Afternoon,one,Night,Bangalore,Economy,8.67,22,3542
Air_India,AI-640,Bangalore,Early_Morning,one,Night,Delhi,Economy,14.5,6,14300.264
Vistara,UK-830,Hyderabad,Morning,one,Night,Kolkata,Business,12.42,36,41138.11954
Indigo,6E-563,Kolkata,Morning,one,Evening,Bangalore,Economy,9.5,18,6489
Vistara,UK-870,Hyderabad,Night,one,Early_Morning,Mumbai,Business,11.33,22,116222.0725
Air_India,AI-809,Mumbai,Morning,one,Evening,Bangalore,Business,6.25,23,60068.8
Vistara,UK-708,Kolkata,Night,one,Evening,Hyderabad,Business,20.58,11,56818.575
Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,Business,23.75,19,36413.55729
Air_India,AI-651,Mumbai,Morning,one,Night,Delhi,Business,11,44,45844.48
Vistara,UK-659,Hyderabad,Morning,two_or_more,Night,Chennai,Economy,11.75,6,26109.58812
Air_India,AI-698,Hyderabad,Night,one,Morning,Bangalore,Business,12.92,31,50128.88067
Vistara,UK-874,Hyderabad,Morning,one,Night,Bangalore,Business,14.33,6,61358.82049
Vistara,UK-986,Mumbai,Night,one,Night,Chennai,Economy,21.5,17,13661.384
Air_India,AI-424,Kolkata,Afternoon,one,Morning,Hyderabad,Business,21,34,57269.3
Vistara,UK-874,Hyderabad,Morning,one,Afternoon,Bangalore,Economy,7.5,14,29118.0208
Vistara,UK-877,Mumbai,Morning,one,Evening,Delhi,Business,9.17,10,52102.116
Vistara,UK-851,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,5.67,34,70745.312
GO_FIRST,G8-385,Bangalore,Early_Morning,zero,Early_Morning,Mumbai,Economy,1.58,24,2636.5779
AirAsia,I5-798,Delhi,Afternoon,one,Late_Night,Mumbai,Economy,13.75,29,2623.401
AirAsia,I5-821,Chennai,Night,zero,Night,Bangalore,Economy,1.17,41,1587.3
Vistara,UK-832,Chennai,Early_Morning,one,Night,Bangalore,Business,13.5,40,72914.6
AirAsia,I5-996,Bangalore,Evening,one,Early_Morning,Kolkata,Economy,11.75,31,4516.083
Air_India,AI-9518,Hyderabad,Night,one,Early_Morning,Kolkata,Economy,8.5,33,8099.25479
Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Business,2.25,42,55517.50072
Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Delhi,Business,7.42,7,88321.97891
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,10.67,45,6400.810944
Air_India,AI-806,Mumbai,Early_Morning,one,Night,Kolkata,Economy,14.33,33,6052.2
GO_FIRST,G8-113,Delhi,Early_Morning,one,Night,Hyderabad,Economy,14.83,48,6222.7
Indigo,6E-2109,Delhi,Evening,zero,Night,Kolkata,Economy,2.33,38,4838.79
Vistara,UK-822,Chennai,Morning,one,Morning,Bangalore,Business,23.08,16,53414.24
GO_FIRST,G8-2403,Delhi,Morning,one,Evening,Mumbai,Economy,8,20,6488.262
Vistara,UK-830,Hyderabad,Morning,one,Night,Mumbai,Business,12.5,4,90244.91174
Vistara,UK-708,Kolkata,Night,two_or_more,Morning,Bangalore,Economy,15.42,16,8029.89
AirAsia,I5-592,Bangalore,Evening,zero,Evening,Kolkata,Economy,2.42,25,3023.163
Vistara,UK-826,Chennai,Afternoon,one,Night,Hyderabad,Business,10.42,47,76333.95
Vistara,UK-706,Kolkata,Morning,one,Morning,Hyderabad,Business,23.17,49,63131.75
Vistara,UK-993,Delhi,Afternoon,one,Night,Hyderabad,Business,8.08,16,46062.027
Indigo,6E-6214,Kolkata,Morning,one,Evening,Hyderabad,Economy,8.42,34,2436
Air_India,AI-763,Kolkata,Early_Morning,one,Evening,Chennai,Business,12,21,67739.43
Vistara,UK-808,Bangalore,Early_Morning,one,Night,Mumbai,Economy,14,21,5793.56712
Vistara,UK-877,Mumbai,Morning,one,Afternoon,Delhi,Business,4.92,15,54929.039
Indigo,6E-5338,Mumbai,Morning,zero,Morning,Bangalore,Economy,1.58,5,5103
AirAsia,I5-1229,Chennai,Evening,one,Late_Night,Kolkata,Economy,9.5,13,5544
Vistara,UK-910,Mumbai,Evening,one,Night,Hyderabad,Economy,5.33,6,10866.9
AirAsia,I5-1229,Chennai,Evening,one,Late_Night,Kolkata,Economy,9.5,43,2597.1
Air_India,AI-505,Bangalore,Morning,one,Evening,Hyderabad,Economy,8.92,16,9118.56
SpiceJet,SG-5002,Bangalore,Evening,zero,Night,Delhi,Economy,2.75,6,8154.432
Vistara,UK-818,Bangalore,Evening,one,Morning,Mumbai,Business,14.08,41,90937.6082
Air_India,AI-809,Mumbai,Morning,one,Evening,Chennai,Economy,9,38,4636.8
Vistara,UK-813,Delhi,Evening,one,Night,Hyderabad,Economy,27.33,23,5703.39
Indigo,6.00E-221,Delhi,Night,one,Late_Night,Kolkata,Economy,6.33,34,6690.937
Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,Economy,9.5,42,10958.123
GO_FIRST,G8-113,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.58,12,7924.774
Air India,AI-6450,Delhi,Morning,zero,Morning,Kolkata,OperatedBy: Vistara,2.25,2,24989.58
Air India Express,IX-2752,Hyderabad,Night,one,Late_Night,Mumbai,Economy,4.75,35,10381.229
Vistara,UK-706,Kolkata,Morning,two_or_more,Morning,Chennai,Economy,22.58,21,23372.36
Vistara,UK-822,Chennai,Morning,one,Early_Morning,Hyderabad,Business,22.08,41,49687.44
GO_FIRST,G8-791,Bangalore,Evening,one,Early_Morning,Mumbai,Economy,11.75,11,6201.5283
Air_India,AI-763,Kolkata,Early_Morning,one,Morning,Chennai,Business,25.92,5,67739.43
Vistara,UK-890,Hyderabad,Evening,one,Evening,Kolkata,Business,25.92,43,94776.74194
Air_India,AI-877,Delhi,Morning,two_or_more,Early_Morning,Chennai,Business,20.33,9,68567.796
Vistara,UK-774,Kolkata,Night,one,Morning,Chennai,Economy,12.25,4,15539.425
AirAsia,I5-1518,Hyderabad,Evening,zero,Night,Bangalore,Economy,1.17,28,1934.064
AirAsia,I5-1228,Chennai,Morning,one,Night,Mumbai,Economy,13.33,5,7903.17
Vistara,UK-893,Bangalore,Evening,two_or_more,Night,Kolkata,Economy,26.83,37,9141.1749
SpiceJet,SG-4009,Bangalore,Early_Morning,one,Morning,Delhi,Economy,25.92,37,4088.106
Air_India,AI-839,Delhi,Night,zero,Night,Hyderabad,Business,2.17,39,31869.464
AirAsia,I5-942,Mumbai,Afternoon,one,Evening,Chennai,Economy,4.33,42,1701
Air_India,AI-840,Hyderabad,Night,one,Morning,Chennai,Economy,12.08,32,3052.11159
Indigo,6E-5012,Delhi,Early_Morning,zero,Morning,Chennai,Economy,2.92,9,7350.75
Air_India,AI-773,Kolkata,Evening,one,Early_Morning,Hyderabad,Business,14,44,54066.1
Indigo,6E-6151,Hyderabad,Morning,one,Evening,Bangalore,Economy,7.67,3,8065.332
Air_India,AI-504,Delhi,Night,one,Early_Morning,Kolkata,Economy,8,40,9804.146
Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,Business,7.08,16,59781.744
Air_India,AI-687,Mumbai,Afternoon,one,Late_Night,Bangalore,Business,8.17,24,60068.8
Vistara,UK-852,Bangalore,Morning,one,Evening,Delhi,Business,10.25,44,81106.89411
AirAsia,I5-1543,Hyderabad,Afternoon,one,Night,Kolkata,Economy,6.75,47,2015.0856
GO_FIRST,G8-575,Mumbai,Early_Morning,one,Afternoon,Bangalore,Economy,10.25,30,4081
Indigo,6E-6217,Chennai,Night,zero,Night,Hyderabad,Economy,1.17,7,4622.2
Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,Business,15.08,44,65955.043
Vistara,UK-778,Kolkata,Afternoon,one,Evening,Hyderabad,Business,25.67,39,52540.29
Air_India,AI-687,Mumbai,Afternoon,one,Night,Kolkata,Business,6.33,10,60167.25
Vistara,UK-838,Chennai,Night,one,Morning,Bangalore,Business,13.75,45,80206.06
Air_India,AI-773,Kolkata,Evening,one,Night,Delhi,Economy,6.5,33,6972.9
Vistara,UK-836,Chennai,Morning,one,Evening,Mumbai,Business,5.75,13,72550.5473
Air_India,AI-429,Delhi,Morning,one,Morning,Mumbai,Economy,22.25,1,17289.69
Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,Economy,7.42,19,5440.16
Indigo,6E-5209,Mumbai,Early_Morning,one,Afternoon,Kolkata,Economy,7.08,24,7272.1
Vistara,UK-854,Bangalore,Evening,one,Afternoon,Hyderabad,Business,17.83,33,45502.2315
Vistara,UK-951,Delhi,Afternoon,one,Night,Bangalore,Business,6.58,13,56510.267
Indigo,6E-528,Bangalore,Evening,one,Night,Delhi,Economy,5.42,18,3416.094
Vistara,UK-854,Bangalore,Evening,one,Night,Hyderabad,Business,26.5,36,37229.0985
,,,,,,,,,,
Air_India,AI-839,Delhi,Night,zero,Night,Hyderabad,Economy,2.17,32,2538.58
Air_India,AI-888,Mumbai,Evening,one,Afternoon,Chennai,Business,17.67,7,49116.87
Vistara,UK-708,Kolkata,Night,one,Afternoon,Mumbai,Business,16.17,38,64102.36239
SpiceJet,SG-349,Mumbai,Afternoon,one,Evening,Delhi,Economy,4.75,4,13176.9
Vistara,UK-960,Mumbai,Morning,one,Night,Chennai,Business,10.83,4,67445.037
Air_India,AI-888,Mumbai,Evening,one,Evening,Chennai,Business,24,9,49116.87
Air_India,AI-541,Hyderabad,Evening,one,Afternoon,Chennai,Economy,20.42,26,4453.5744
SpiceJet,SG-8158,Mumbai,Evening,zero,Night,Delhi,Economy,2.42,7,6537.3
Air_India,AI-541,Hyderabad,Evening,one,Early_Morning,Chennai,Economy,15.08,30,7540.7805
Vistara,UK-828,Chennai,Early_Morning,one,Night,Hyderabad,Business,13.92,16,40653.36
GO_FIRST,G8-7537,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.17,20,3916
Indigo,6E-354,Mumbai,Afternoon,one,Night,Chennai,Economy,7.33,5,8703.9
GO_FIRST,G8-118,Bangalore,Night,one,Afternoon,Hyderabad,Economy,16.75,19,5772.547
AirAsia,I5-588,Kolkata,Afternoon,one,Late_Night,Delhi,Economy,11.83,26,3315.4
Air_India,AI-505,Bangalore,Morning,one,Morning,Mumbai,Economy,22.67,9,12912.1641
Air_India,AI-748,Bangalore,Late_Night,one,Morning,Delhi,Business,6.58,22,76991.1626
Air_India,AI-770,Kolkata,Night,one,Evening,Chennai,Business,22.5,39,74513.373
Vistara,UK-860,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,7.17,18,5526.39186
Vistara,UK-874,Hyderabad,Morning,one,Evening,Kolkata,Business,8.33,37,70807.52161
AirAsia,I5-942,Mumbai,Afternoon,zero,Afternoon,Bangalore,Economy,1.67,2,6651
Vistara,UK-870,Hyderabad,Night,one,Evening,Kolkata,Business,21.5,17,100980.5714
GO_FIRST,G8-306,Mumbai,Morning,one,Evening,Bangalore,Economy,9.33,30,6337
Vistara,UK-776,Kolkata,Evening,one,Morning,Delhi,Economy,14.5,4,11634.84
Indigo,6E-841,Bangalore,Afternoon,one,Night,Kolkata,Economy,5.42,33,3694.977
AirAsia,I5-556,Kolkata,Afternoon,one,Night,Bangalore,Economy,10.25,49,3862
Vistara,UK-834,Chennai,Evening,zero,Evening,Delhi,Business,2.75,41,36991.152
Vistara,UK-945,Delhi,Morning,one,Night,Bangalore,Business,9.25,25,53553.753
AirAsia,I5-783,Delhi,Early_Morning,one,Night,Chennai,Economy,14.83,18,5104.99
AirAsia,I5-2461,Bangalore,Evening,one,Late_Night,Kolkata,Economy,10,44,4516.083
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Economy,2.17,3,7205.55
Air_India,AI-773,Kolkata,Evening,one,Morning,Delhi,Business,15.92,32,65029.03
Vistara,UK-870,Hyderabad,Night,one,Night,Kolkata,Economy,26.17,12,7993.587789
Vistara,UK-776,Kolkata,Evening,one,Morning,Chennai,Economy,18.25,14,11558.25
Air_India,AI-639,Mumbai,Morning,one,Evening,Kolkata,Economy,8.08,27,5801.4
GO_FIRST,G8-102,Kolkata,Afternoon,one,Night,Mumbai,Economy,7.67,46,5829.12
Air_India,AI-887,Delhi,Early_Morning,one,Night,Hyderabad,Economy,14.58,11,11170.5
Air_India,AI-9720,Kolkata,Early_Morning,two_or_more,Night,Chennai,Economy,15.83,6,19717.5
Indigo,6.00E-269,Chennai,Morning,one,Evening,Delhi,Economy,8.83,17,10853.7
Vistara,UK-977,Delhi,Evening,one,Evening,Chennai,Business,24.92,2,64883.6001
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Hyderabad,Business,12.42,23,73041.65
Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83,9,21901.605
Air_India,AI-440,Chennai,Early_Morning,one,Afternoon,Mumbai,Economy,6.67,48,4313.43
Vistara,UK-720,Kolkata,Early_Morning,one,Morning,Hyderabad,Business,26.5,10,51653.25
Vistara,UK-826,Chennai,Afternoon,two_or_more,Night,Hyderabad,Economy,8.42,38,6616.5
Vistara,UK-738,Kolkata,Evening,one,Morning,Hyderabad,Business,14.67,45,63131.75
Air_India,AI-635,Mumbai,Early_Morning,one,Early_Morning,Chennai,Economy,24.92,29,6380
Indigo,6E-5375,Mumbai,Evening,zero,Evening,Chennai,Economy,1.83,5,6537.3
Vistara,UK-828,Chennai,Early_Morning,one,Night,Delhi,Economy,16.75,10,19745.99
Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,31,3234.33
SpiceJet,SG-8946,Delhi,Morning,one,Afternoon,Bangalore,Economy,25.67,35,10766.8
Air_India,AI-681,Mumbai,Evening,one,Night,Delhi,Economy,28,16,11640.2
Air_India,AI-809,Mumbai,Morning,one,Evening,Chennai,Business,9,31,60031.73
Vistara,UK-771,Mumbai,Early_Morning,one,Morning,Delhi,Economy,26.58,1,24178.77
Air_India,AI-763,Kolkata,Early_Morning,one,Evening,Mumbai,Economy,11,20,4898.88
Vistara,UK-826,Chennai,Afternoon,one,Night,Delhi,Business,10.5,25,63074.88
,,,,,,,,,,
Indigo,6E-495,Chennai,Early_Morning,one,Afternoon,Kolkata,Economy,6.75,40,3671.1
Vistara,UK-874,Hyderabad,Morning,one,Early_Morning,Bangalore,Business,23.33,24,61358.82049
Indigo,6E-7118,Hyderabad,Early_Morning,one,Afternoon,Chennai,Economy,6.75,37,7865.1452
GO_FIRST,G8-392,Delhi,Afternoon,one,Early_Morning,Chennai,Economy,16,45,4847.04
Vistara,UK-738,Kolkata,Evening,one,Morning,Mumbai,Economy,16.83,24,8244.819
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Bangalore,Economy,13.58,43,5181.0759
Indigo,6E-6014,Mumbai,Early_Morning,zero,Morning,Kolkata,Economy,2.58,41,4948.9
AirAsia,I5-517,Hyderabad,Morning,one,Night,Delhi,Economy,11.83,27,3262.0148
Indigo,6.00E-131,Bangalore,Early_Morning,one,Morning,Mumbai,Economy,4.25,26,7581.1098
SpiceJet,SG-8645,Delhi,Evening,one,Evening,Chennai,Economy,26.08,32,5330.61
Vistara,UK-873,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,9.33,10,44941.941
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,48,6170.7096
Vistara,UK-975,Delhi,Early_Morning,one,Evening,Kolkata,Economy,11.08,29,7185.222
Air_India,AI-804,Bangalore,Early_Morning,one,Evening,Chennai,Economy,12.83,7,12940.884
Vistara,UK-870,Hyderabad,Night,one,Morning,Bangalore,Business,15.25,10,100451.0518
Vistara,UK-894,Hyderabad,Evening,one,Night,Mumbai,Economy,25.75,46,2834.949051
Indigo,6.00E-154,Mumbai,Late_Night,one,Morning,Kolkata,Economy,6.42,26,6427.3
Air_India,AI-502,Delhi,Afternoon,zero,Evening,Bangalore,Business,2.75,14,39759.39
Vistara,UK-994,Mumbai,Morning,one,Evening,Bangalore,Business,8.42,42,80982.88
GO_FIRST,G8-7559,Bangalore,Afternoon,one,Night,Hyderabad,Economy,6.67,27,6358.55
Vistara,UK-866,Bangalore,Night,one,Morning,Delhi,Economy,13.33,17,5417.02359
Vistara,UK-832,Chennai,Early_Morning,one,Evening,Bangalore,Business,11.92,6,72914.6
Vistara,UK-898,Hyderabad,Early_Morning,two_or_more,Evening,Chennai,Economy,8.67,25,8783.36217
Vistara,UK-838,Chennai,Night,one,Morning,Mumbai,Business,14.5,39,90628.22923
GO_FIRST,G8-530,Delhi,Early_Morning,one,Evening,Kolkata,Economy,10.5,19,6331.05
Vistara,UK-822,Chennai,Morning,one,Evening,Delhi,Business,8.33,36,51606.72
Vistara,UK-827,Mumbai,Night,one,Morning,Delhi,Business,12.75,34,75213.7452
Vistara,UK-855,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.08,31,7553.9574
Vistara,UK-828,Chennai,Early_Morning,zero,Morning,Mumbai,Economy,2,42,3939.76
Air_India,AI-807,Delhi,Evening,one,Night,Mumbai,Economy,27.75,23,8226.911
Vistara,UK-836,Chennai,Morning,one,Evening,Kolkata,Economy,7.33,10,15877.62
Vistara,UK-852,Mumbai,Afternoon,two_or_more,Evening,Kolkata,Economy,7.42,41,9410.94
Vistara,UK-817,Delhi,Evening,one,Morning,Hyderabad,Economy,17,14,10508.85
Vistara,UK-910,Mumbai,Evening,one,Night,Hyderabad,Economy,5.33,17,5608.9
Vistara,UK-975,Delhi,Early_Morning,one,Evening,Bangalore,Economy,12,14,12922.8
Air_India,AI-865,Delhi,Morning,one,Early_Morning,Chennai,Economy,20.67,37,3948.12
Air_India,AI-729,Kolkata,Morning,one,Night,Delhi,Economy,12.25,39,4583.7
Vistara,UK-955,Delhi,Evening,one,Night,Bangalore,Economy,5.08,30,5924.16
GO_FIRST,G8-319,Mumbai,Morning,one,Night,Bangalore,Economy,11.5,17,5102
AirAsia,I5-1426,Bangalore,Afternoon,two_or_more,Late_Night,Delhi,Economy,12.33,23,2965.347
GO_FIRST,G8-146,Bangalore,Evening,one,Night,Delhi,Economy,4.83,39,8298.785
Vistara,UK-854,Bangalore,Evening,one,Evening,Delhi,Economy,22.08,11,19699.4655
SpiceJet,SG-480,Delhi,Evening,one,Afternoon,Chennai,Economy,19.42,25,4107.51
Vistara,UK-863,Mumbai,Morning,one,Afternoon,Delhi,Business,5.08,46,57882.528
Air India,AI-6547,Delhi,Evening,two_or_more,Afternoon,Mumbai,OperatedBy: Vistara,21.25,33,32528.309
Air_India,AI-430,Chennai,Morning,one,Night,Kolkata,Economy,12.42,49,4799.3
Indigo,6E-541,Bangalore,Morning,one,Night,Kolkata,Economy,10.92,25,6891.918
Vistara,UK-706,Kolkata,Morning,one,Morning,Mumbai,Business,25.25,17,86753.7814
AirAsia,I5-1518,Hyderabad,Evening,one,Late_Night,Delhi,Economy,7.58,17,3262.0148
Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,12.75,29,6544
Vistara,UK-822,Chennai,Morning,one,Evening,Hyderabad,Business,10.17,33,80769.15
Indigo,6.00E-168,Mumbai,Morning,zero,Afternoon,Delhi,Economy,2.25,12,6537.3
Vistara,UK-874,Hyderabad,Morning,one,Evening,Chennai,Economy,11.42,10,13386.41271
Vistara,UK-818,Bangalore,Evening,zero,Night,Delhi,Business,2.75,20,53022.82073
Vistara,UK-706,Kolkata,Morning,one,Evening,Bangalore,Business,6.75,6,95466.58
AirAsia,I5-740,Delhi,Early_Morning,one,Evening,Chennai,Economy,9.42,43,2417.58
Vistara,UK-995,Delhi,Morning,one,Evening,Bangalore,Business,7.42,25,59652.153
Vistara,UK-988,Mumbai,Night,one,Morning,Chennai,Economy,13,30,5321.338
Vistara,UK-837,Delhi,Evening,one,Morning,Mumbai,Business,18.25,4,67708.18296
Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Economy,13.42,46,8290.90548
Vistara,UK-893,Bangalore,Evening,one,Night,Delhi,Economy,26.92,15,7152.6609
Air_India,AI-809,Mumbai,Morning,one,Morning,Chennai,Economy,22.92,14,10121.1
Air_India,AI-672,Chennai,Afternoon,one,Night,Kolkata,Business,8.75,20,65922.01
Indigo,6E-2518,Mumbai,Night,zero,Night,Delhi,Economy,2.25,45,1894.59
Air_India,AI-763,Kolkata,Early_Morning,one,Night,Hyderabad,Economy,13.58,6,12054
Vistara,UK-850,Bangalore,Evening,one,Morning,Delhi,Economy,12.67,13,10530.1944
Vistara,UK-816,Bangalore,Morning,one,Night,Kolkata,Economy,11.25,31,11876.7792
Indigo,6E-552,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,5.25,48,4155.8
